word_index,word,senses,gold_image,generated_caption
0,andromeda,"{""senses"": [""broad-leaved evergreen Asiatic shrub with glossy leaves and drooping clusters of white flowers"", ""(Greek mythology) an Ethiopian princess and daughter of Cassiopeia; she was fastened to a rock and exposed to a sea monster that was sent by Poseidon, but she was rescued by Perseus and became his wife"", ""a constellation in the northern hemisphere between Cassiopeia and Pegasus; contains the Andromeda galaxy""]}",image.86.jpg,"The delicate, bell-shaped flowers cascade from the branches of the evergreen shrub known as andromeda."
3,bank,"{""senses"": [""sloping land (especially the slope beside a body of water)"", ""a financial institution that accepts deposits and channels the money into lending activities"", ""an arrangement of similar objects in a row or in tiers"", ""a supply or stock held in reserve for future use (especially in emergencies)"", ""the funds held by a gambling house or the dealer in some gambling games"", ""a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force"", ""a container (usually with a slot in the top) for keeping money at home"", ""tip laterally""]}",image.64.jpg,"The river flows gently through the canyon, its waters lapping against the rocky bank."
4,router,"{""senses"": [""a worker who routes shipments for distribution and delivery"", ""(computer science) a device that forwards data packets between computer networks"", ""a power tool with a shaped cutter; used in carpentry for cutting grooves""]}",image.18.jpg,This device is a router with several Ethernet ports for connecting wired devices.
5,stick,"{""senses"": [""an implement consisting of a length of wood"", ""a small thin branch of a tree"", ""a lever used by a pilot to control the ailerons and elevators of an airplane"", ""a rectangular quarter pound block of butter or margarine"", ""informal terms for the leg"", ""a long implement (usually made of wood) that is shaped so that hockey or polo players can hit a puck or ball"", ""a long thin implement resembling a length of wood"", ""marijuana leaves rolled into a cigarette for smoking"", ""threat of a penalty""]}",image.156.jpg,This classic black controller features a prominent stick for navigating games.
6,swing,"{""senses"": [""a state of steady vigorous action that is characteristic of an activity"", ""mechanical device used as a plaything to support someone swinging back and forth"", ""a sweeping blow or stroke"", ""a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz"", ""a jaunty rhythm in music"", ""the act of swinging a golf club at a golf ball and (usually) hitting it"", ""in baseball; a batter's attempt to hit a pitched ball"", ""a square dance figure; a pair of dancers join hands and dance around a point between them""]}",image.54.jpg,The batsman takes a wide swing at the cricket ball as he defends his wicket.
7,tube,"{""senses"": [""conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases"", ""electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope"", ""a hollow cylindrical shape"", ""(anatomy) any hollow cylindrical body structure"", ""an electric railway operating below the surface of the ground (usually in a city)""]}",image.28.jpg,"The dark tunnel shows a complex network of tracks within the city's tube."
8,venus,"{""senses"": [""the second nearest planet to the sun; it is peculiar in that its rotation is slow and retrograde (in the opposite sense of the Earth and all other planets except Uranus); it is visible from Earth as an early `morning star' or an `evening star'"", ""goddess of love; counterpart of Greek Aphrodite"", ""type genus of the family Veneridae: genus of edible clams with thick oval shells""]}",image.124.jpg,"The swirling cloud patterns obscure the surface of venus, giving the planet a hazy, golden appearance."
9,wheel,"{""senses"": [""a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)"", ""a handwheel that is used for steering"", ""forces that provide energy and direction"", ""a circular helm to control the rudder of a vessel"", ""game equipment consisting of a wheel with slots that is used for gambling; the wheel rotates horizontally and players bet on which slot the roulette ball will stop in"", ""an instrument of torture that stretches or disjoints or mutilates victims"", ""a wheeled vehicle that has two wheels and is moved by foot pedals""]}",image.118.jpg,"A decorative wall display features a series of stacked wooden shelves alongside a large, rustic wagon wheel."
10,white,"{""senses"": [""a member of the Caucasoid race"", ""the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)"", ""a tributary of the Mississippi River that flows southeastward through northern Arkansas and southern Missouri"", ""the white part of an egg; the nutritive and protective gelatinous substance surrounding the yolk consisting mainly of albumin dissolved in water"", ""(board games) the lighter pieces"", ""(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth""]}",image.71.jpg,"The egg yolk sits nestled within the clear, translucent white of the egg."
11,acrobatics,"{""senses"": [""the gymnastic moves of an acrobat"", ""the performance of stunts while in flight in an aircraft""]}",image.134.jpg,The vintage aircraft performs impressive acrobatics against a clear blue sky.
12,adalia,"{""senses"": [""a port city in southwestern Turkey on the Gulf of Antalya"", ""genus of ladybugs""]}",image.25.jpg,A lovely adalia rests peacefully on a textured leaf.
13,administration,"{""senses"": [""a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)"", ""the persons (or committees or departments etc.) who make up a body for the purpose of administering something"", ""the act of administering medication"", ""the tenure of a president"", ""the act of governing; exercising authority"", ""the act of meting out justice according to the law""]}",image.149.jpg,"A group of officials pose for a photo in a factory setting, likely during a tour of the facility with the local administration."
14,amber,"{""senses"": [""a deep yellow color"", ""a hard yellowish to brownish translucent fossil resin; used for jewelry""]}",image.85.jpg,"This beautiful specimen showcases the warm, golden hues of amber, a fossilized tree resin."
15,ambrosia,"{""senses"": [""a mixture of nectar and pollen prepared by worker bees and fed to larvae"", ""any of numerous chiefly North American weedy plants constituting the genus Ambrosia that produce highly allergenic pollen responsible for much hay fever and asthma"", ""fruit dessert made of oranges and bananas with shredded coconut"", ""(classical mythology) the food and drink of the gods; mortals who ate it became immortal""]}",image.103.jpg,This colorful dessert salad looks like a delightful bowl of fruit-filled ambrosia.
